name;dosage;form
Ruscogenina + Trimebutina;10 mg + 120 mg;Supositório
Ruscogenina + Trimebutina;5 mg/g + 58 mg/g;Pomada retal
Rutosido + Ácido ascórbico;25 mg + 500 mg;Comprimido
Ruxolitinib;10 mg;Comprimido
Ruxolitinib;15 mg;Comprimido
Ruxolitinib;20 mg;Comprimido
Ruxolitinib;5 mg;Comprimido
Saccharomyces boulardii;250 mg;Cápsula
Saccharomyces boulardii;250 mg;Pó para suspensão oral
Sacubitril + Valsartan;24 mg + 26 mg;Comprimido revestido por película
Sacubitril + Valsartan;49 mg + 51 mg;Comprimido revestido por película
Sacubitril + Valsartan;97 mg + 103 mg;Comprimido revestido por película
Safinamida;100 mg;Comprimido revestido por película
Safinamida;50 mg;Comprimido revestido por película
Salbutamol;0.4 mg/ml;Xarope
Salbutamol;0.5 mg/1 ml;Solução injetável
Salbutamol;100 µg/dose;Pó para inalação
Salbutamol;100 µg/dose;Suspensão pressurizada para inalação
Salbutamol;4 mg;Comprimido
Salbutamol;5 mg/5 ml;Solução para perfusão
Salbutamol;5 mg/ml;Solução para inalação por nebulização
Salbutamol;95 µg/dose;Pó para inalação
Salicilato de colina;87 mg/g;Gel bucal
Salicilato de dietilamina;28.57 mg/g;Creme
Salicilato de dietilamina;50 mg/g;Gel
Salicilato de dietilamina + Mirtecaína;100 mg/g + 10 mg/g;Creme
Salicilato de metilo;150 mg/g;Pomada
Salicilato de metilo;61.1 mg/g;Pomada
Salicilato de metilo + Mentol + Guaiacol;100 mg/g + 40 mg/g + 10 mg/g;Pomada
Salmeterol;25 µg/dose;Suspensão pressurizada para inalação
Salmeterol;50 µg/dose;Pó para inalação
Sapropterina;100 mg;Comprimido solúvel
Sapropterina;100 mg;Pó para solução oral
Sapropterina;500 mg;Pó para solução oral
Saquinavir;500 mg;Comprimido revestido por película
Sarilumab;150 mg/1.14 ml;Solução injetável em caneta pré-cheia
Sarilumab;150 mg/1.14 ml;Solução injetável em seringa pré-cheia
Sarilumab;200 mg/1.14 ml;Solução injetável em caneta pré-cheia
Sarilumab;200 mg/1.14 ml;Solução injetável em seringa pré-cheia
Saxagliptina;2.5 mg;Comprimido revestido por película
Saxagliptina;5 mg;Comprimido revestido por película
Saxagliptina + Dapagliflozina;5 mg + 10 mg;Comprimido revestido por película
Sebelipase alfa;2 mg/ml;Concentrado para solução para perfusão
Secnidazol;500 mg;Comprimido revestido
Secucinumab;150 mg;Pó para solução injetável
Secucinumab;150 mg/1 ml;Solução injetável em caneta pré-cheia
Secucinumab;150 mg/1 ml;Solução injetável em seringa pré-cheia
Secucinumab;150 mg/2 ml;Solução injetável em caneta pré-cheia
Secucinumab;150 mg/2 ml;Solução injetável em seringa pré-cheia
Selegilina;5 mg;Comprimido
Selenito de sódio;10 µg/ml;Solução para perfusão
Selenito de sódio;100 µg/2 ml;Solução injetável
Selenito de sódio;100 µg/2 ml;Solução oral
Selenito de sódio;500 µg/10 ml;Solução injetável
Selenito de sódio;500 µg/10 ml;Solução oral
Selexipag;1000 µg;Comprimido revestido por película
Selexipag;1200 µg;Comprimido revestido por película
Selexipag;1400 µg;Comprimido revestido por película
Selexipag;1600 µg;Comprimido revestido por película
Selexipag;200 µg;Comprimido revestido por película
Selexipag;400 µg;Comprimido revestido por película
Selexipag;600 µg;Comprimido revestido por película
Selexipag;800 µg;Comprimido revestido por película
Semaglutido;0.25 mg/0.19 ml;Solução injetável em caneta pré-cheia
Semaglutido;0.5 mg/0.37 ml;Solução injetável em caneta pré-cheia
Semaglutido;1 mg/0.74 ml;Solução injetável em caneta pré-cheia
Semaglutido;14 mg;Comprimido
Semaglutido;3 mg;Comprimido
Semaglutido;7 mg;Comprimido
Sene;20 mg;Comprimido revestido
Sene;250 mg/g + 750 mg/g;Chá medicinal
Sene;308 - 513 mg/g;Chá medicinal instantâneo
Senosido A + Senosido B;12 mg;Comprimido revestido
Serenoa repens;160 mg;Cápsula
Serrapeptase;10 mg;Cápsula
Sertaconazol;20 mg/g;Champô
Sertaconazol;20 mg/g;Creme
Sertaconazol;20 mg/g;Creme vaginal
Sertaconazol;20 mg/g;Pó cutâneo
Sertaconazol;20 mg/ml;Solução cutânea
Sertaconazol;300 mg;Óvulo
Sertaconazol;500 mg;Comprimido vaginal
Sertralina;100 mg;Comprimido revestido por película
Sertralina;150 mg;Comprimido revestido por película
Sertralina;20 mg/ml;Concentrado para solução oral
Sertralina;200 mg;Comprimido revestido por película
Sertralina;50 mg;Comprimido revestido por película
Sevelâmero;0.8 g;Pó para suspensão oral
Sevelâmero;1.6 g;Pó para suspensão oral
Sevelâmero;2.4 g;Pó para suspensão oral
Sevelâmero;400 mg;Comprimido revestido por película
Sevelâmero;800 mg;Comprimido revestido por película
Sevoflurano;100%;Líquido para inalação por vaporização
Sildenafil;0.8 mg/ml;Solução injetável
Sildenafil;10 mg/ml;Pó para suspensão oral
Sildenafil;100 mg;Comprimido
Sildenafil;100 mg;Comprimido orodispersível
Sildenafil;100 mg;Comprimido para mastigar
Sildenafil;100 mg;Comprimido revestido por película
Sildenafil;100 mg;Película orodispersível
Sildenafil;20 mg;Comprimido revestido por película
Sildenafil;25 mg;Comprimido
Sildenafil;25 mg;Comprimido orodispersível
Sildenafil;25 mg;Comprimido para mastigar
Sildenafil;25 mg;Comprimido revestido por película
Sildenafil;25 mg;Película orodispersível
Sildenafil;25 mg/ml;Suspensão oral
Sildenafil;50 mg;Comprimido
Sildenafil;50 mg;Comprimido orodispersível
Sildenafil;50 mg;Comprimido para mastigar
Sildenafil;50 mg;Comprimido revestido por película
Sildenafil;50 mg;Película orodispersível
Sildenafil;75 mg;Película orodispersível
Silibinina;350 mg;Pó para solução para perfusão
Silimarina;10 mg/g;Suspensão oral
Silimarina;140 mg;Cápsula
Silimarina;70 mg;Cápsula
Silodosina;4 mg;Cápsula
Silodosina;8 mg;Cápsula
Siltuximab;100 mg;Pó para concentrado para solução para perfusão
Siltuximab;400 mg;Pó para concentrado para solução para perfusão
Simeticone;105 mg/ml;Emulsão oral
Simeticone;125 mg;Cápsula mole
Simeticone;42 mg;Comprimido para mastigar
Simeticone;66.6 mg/ml;"Gotas orais; emulsão"
Simeticone;66.66 mg/ml;"Gotas orais; emulsão"
Simoctocog alfa;1000 U.I./2.5 ml;Pó e solvente para solução injetável
Simoctocog alfa;2000 U.I./2.5 ml;Pó e solvente para solução injetável
Simoctocog alfa;250 U.I./2.5 ml;Pó e solvente para solução injetável
Simoctocog alfa;2500 U.I./2.5 ml;Pó e solvente para solução injetável
Simoctocog alfa;2500 U.I/2.5 ml;Pó e solvente para solução injetável
Simoctocog alfa;3000 U.I./2.5 ml;Pó e solvente para solução injetável
Simoctocog alfa;4000 U.I./2.5 ml;Pó e solvente para solução injetável
Simoctocog alfa;500 U.I./2.5 ml;Pó e solvente para solução injetável
Sinvastatina;10 mg;Comprimido revestido
Sinvastatina;10 mg;Comprimido revestido por película
Sinvastatina;20 mg;Comprimido revestido
Sinvastatina;20 mg;Comprimido revestido por película
Sinvastatina;40 mg;Comprimido revestido
Sinvastatina;40 mg;Comprimido revestido por película
Sinvastatina + Ezetimiba;10 mg + 10 mg;Comprimido
Sinvastatina + Ezetimiba;20 mg + 10 mg;Comprimido
Sinvastatina + Ezetimiba;40 mg + 10 mg;Comprimido
Sinvastatina + Ezetimiba;80 mg + 10 mg;Comprimido
Sinvastatina + Fenofibrato;20 mg + 145 mg;Comprimido revestido por película
Sinvastatina + Fenofibrato;40 mg + 145 mg;Comprimido revestido por película
Siponimod;0.25 mg;Comprimido revestido por película
Siponimod;2 mg;Comprimido revestido por película
Sirolímus;0.5 mg;Comprimido revestido
Sirolímus;1 mg;Comprimido revestido
Sirolímus;1 mg/ml;Solução oral
Sirolímus;2 mg;Comprimido revestido
Sitagliptina;100 mg;Comprimido revestido por película
Sitagliptina;25 mg;Comprimido revestido por película
Sitagliptina;50 mg;Comprimido revestido por película
Sobrerol;100 mg;Cápsula
Sobrerol;200 mg;Pó para solução oral
Sobrerol;8 mg/ml;Xarope
Sofosbuvir;400 mg;Comprimido revestido por película
Sofosbuvir + Velpatasvir;400 mg + 100 mg;Comprimido revestido por película
Sofosbuvir + Velpatasvir + Voxilaprevir;400 mg + 100 mg + 100 mg;Comprimido revestido por película
Solifenacina;1 mg/ml;Suspensão oral
Solifenacina;10 mg;Comprimido revestido por película
Solifenacina;5 mg;Comprimido revestido por película
Solifenacina + Tansulosina;6 mg + 0.4 mg;Comprimido de libertação modificada
Solriamfetol;150 mg;Comprimido revestido por película
Solriamfetol;75 mg;Comprimido revestido por película
Solução para conservação de órgãos;Associação;Solução para cardioplegia ou conservação de órgãos
Solução para conservação de órgãos;Associação;Solução para conservação de órgãos
Somatostatina;0.25 mg/1 ml;Pó e solvente para solução para perfusão
Somatostatina;3 mg/1 ml;Pó e solvente para solução para perfusão
Somatostatina;3 mg/2 ml;Pó e solvente para solução para perfusão
Somatostatina;6 mg/1 ml;Pó e solvente para solução para perfusão
Somatropina;0.2 mg/0.25 ml;Pó e solvente para solução injetável
Somatropina;0.4 mg/0.25 ml;Pó e solvente para solução injetável
Somatropina;0.6 mg/0.25 ml;Pó e solvente para solução injetável
Somatropina;0.8 mg/0.25 ml;Pó e solvente para solução injetável
Somatropina;1 mg/0.25 ml;Pó e solvente para solução injetável
Somatropina;1.2 mg/0.25 ml;Pó e solvente para solução injetável
Somatropina;1.3 mg/ml;Pó e solvente para solução injetável
Somatropina;1.4 mg/0.25 ml;Pó e solvente para solução injetável
Somatropina;1.6 mg/0.25 ml;Pó e solvente para solução injetável
Somatropina;1.8 mg/0.25 ml;Pó e solvente para solução injetável
Somatropina;10 mg/1.5 ml;Solução injetável
Somatropina;10 mg/1.5 ml;Solução injetável em caneta pré-cheia
Somatropina;10 mg/2 ml;Solução injetável
Somatropina;10 mg/ml;Pó e solvente para solução injetável em seringa pré-cheia
Somatropina;12 mg/1 ml;Pó e solvente para solução injetável
Somatropina;12 mg/3.15 ml;Pó e solvente para solução injetável
Somatropina;15 mg/1.5 ml;Solução injetável
Somatropina;15 mg/1.5 ml;Solução injetável em caneta pré-cheia
Somatropina;2 mg/0.25 ml;Pó e solvente para solução injetável
Somatropina;24 mg/3.15 ml;Pó e solvente para solução injetável
Somatropina;4 mg/3.5 ml;Pó e solvente para solução injetável
Somatropina;5 mg/1 ml;Pó e solvente para solução injetável
Somatropina;5 mg/1.5 ml;Solução injetável
Somatropina;5 mg/1.5 ml;Solução injetável em caneta pré-cheia
Somatropina;5 mg/ml;Pó e solvente para solução injetável
Somatropina;5.3 mg/1 ml;Pó e solvente para solução injetável
Somatropina;5.83 mg/ml;Solução injetável
Somatropina;6 mg/3.17 ml;Pó e solvente para solução injetável
Somatropina;8 mg/1.37 ml;Pó e solvente para solução injetável
Somatropina;8 mg/ml;Solução injetável
Sonidegib;200 mg;Cápsula
Sorafenib;200 mg;Comprimido revestido por película
Sotagliflozina;200 mg;Comprimido revestido por película
Sotalol;160 mg;Comprimido
Sotalol;40 mg;Comprimido
Sotalol;80 mg;Comprimido
Subcitrato de bismuto potássico + Metronidazol + Tetraciclina;140 mg + 125 mg + 125 mg;Cápsula
Sucralfato;1000 mg;Comprimido
Sucralfato;1000 mg/5 ml;Suspensão oral
Sucralfato;200 mg/ml;Suspensão oral
Sufentanilo;0.005 mg/ml;Solução injetável
Sufentanilo;0.005 mg/ml;Solução injetável ou para perfusão
Sufentanilo;0.01 mg/ml;Solução injetável ou para perfusão
Sufentanilo;0.05 mg/ml;Solução injetável
Sufentanilo;0.05 mg/ml;Solução injetável ou para perfusão
Sufentanilo;15 µg;Comprimido sublingual
Sufentanilo;30 µg;Comprimido sublingual
Sugamadex;100 mg/ml;Solução injetável
Sulbutiamina;200 mg;Comprimido revestido
Sulfadiazina;500 mg;Comprimido
Sulfadiazina prata;10 mg/g;Creme
Sulfametoxazol + Trimetoprim;200 mg/5 ml + 40 mg/5 ml;Xarope
Sulfametoxazol + Trimetoprim;400 mg/5 ml + 80 mg/5 ml;Solução injetável
Sulfametoxazol + Trimetoprim;800 mg + 160 mg;Comprimido
Sulfassalazina;500 mg;Comprimido gastrorresistente
Sulfato de bário;10 g;Pó para suspensão oral
Sulfato de bário;1000 mg/ml;Suspensão oral
Sulfato de bário;49.187 mg/ml;Suspensão oral
Sulfato de dermatano;100 mg/2 ml;Solução injetável
Sulfato de dermatano;200 mg/2 ml;Solução injetável
Sulfato de dermatano;300 mg/3 ml;Solução injetável
Sulfato de magnésio;1000 mg/10 ml;Solução injetável
Sulfato de magnésio;10000 mg/20 ml;Solução injetável
Sulfato de magnésio;200 mg/ml;Solução injetável ou para perfusão
Sulfato de magnésio;2000 mg/10 ml;Solução injetável
Sulfato de magnésio;2000 mg/20 ml;Solução injetável
Sulfato de magnésio;2500 mg/10 ml;Solução injetável
Sulfato de magnésio;4000 mg/20 ml;Solução injetável
Sulfato de magnésio;5000 mg/10 ml;Solução injetável
Sulfato de magnésio;5000 mg/20 ml;Solução injetável
Sulfato de magnésio + Sulfato de potássio + Sulfato de sódio;Associação;Concentrado para solução oral
Sulfato de protamina;1400 U.I./ml;Solução injetável ou para perfusão
Sulfato ferroso;247.25 mg;Comprimido de libertação prolongada
Sulfato ferroso;329.7 mg;Comprimido de libertação prolongada
Sulfato ferroso + Ácido fólico;247.25 mg + 0.35 mg;Comprimido de libertação prolongada
Sulfato ferroso + Ácido fólico;325 mg + 0.35 mg;Comprimido de libertação prolongada
Sulodexida;250 LSU;Cápsula mole
Sulodexida;600 LSU/2 ml;Solução injetável
Sulpirida;200 mg;Comprimido
Sulpirida;50 mg;Cápsula
Sulprostona;0.5 mg;Pó para solução para perfusão
Sumatriptano;6 mg/0.5 ml;Solução injetável
Sunitinib;12.5 mg;Cápsula
Sunitinib;25 mg;Cápsula
Sunitinib;37.5 mg;Cápsula
Sunitinib;50 mg;Cápsula
Susoctocog alfa;500 U/1 ml;Pó e solvente para solução injetável
Symphytum officinale;350 mg/g;Creme
Tacalcitol;4 µg/g;Pomada
Tacrolímus;0.2 mg;Granulado para suspensão oral
Tacrolímus;0.3 mg/g;Pomada
Tacrolímus;0.5 mg;Cápsula
Tacrolímus;0.5 mg;Cápsula de libertação prolongada
Tacrolímus;0.75 mg;Cápsula
Tacrolímus;0.75 mg;Comprimido de libertação prolongada
Tacrolímus;1 mg;Cápsula
Tacrolímus;1 mg;Cápsula de libertação prolongada
Tacrolímus;1 mg;Comprimido de libertação prolongada
Tacrolímus;1 mg;Granulado para suspensão oral
Tacrolímus;1 mg/g;Pomada
Tacrolímus;2 mg;Cápsula
Tacrolímus;2 mg;Cápsula de libertação prolongada
Tacrolímus;3 mg;Cápsula de libertação prolongada
Tacrolímus;4 mg;Comprimido de libertação prolongada
Tacrolímus;5 mg;Cápsula
Tacrolímus;5 mg;Cápsula de libertação prolongada
Tacrolímus;5 mg/ml;Concentrado para solução para perfusão
Tadalafil;10 mg;Comprimido revestido por película
Tadalafil;2.5 mg;Comprimido revestido por película
Tadalafil;20 mg;Comprimido revestido por película
Tadalafil;5 mg;Comprimido revestido por película
Tafamidis;20 mg;Cápsula mole
Tafamidis;61 mg;Cápsula mole
Tafluprost;15 µg/ml;"Colírio; solução"
Tafluprost + Timolol;0.015 mg/ml + 5 mg/ml;"Colírio; solução em recipiente unidose"
Talazoparib;0.25 mg;Cápsula
Talazoparib;1 mg;Cápsula
Talidomida;50 mg;Cápsula
Talimogene laherparepvec;1 x10e6 UFP/1 ml;Solução injetável
Talimogene laherparepvec;1 x10e8 UFP/1 ml;Solução injetável
Tamoxifeno;10 mg;Comprimido
Tamoxifeno;20 mg;Comprimido
Tamoxifeno;40 mg;Comprimido
Tansulosina;0.4 mg;Cápsula de libertação modificada
Tansulosina;0.4 mg;Cápsula de libertação prolongada
Tansulosina;0.4 mg;Comprimido de libertação prolongada
Tansulosina;0.4 mg;Comprimido de libertação prolongada revestido por película
Tapentadol;100 mg;Comprimido de libertação prolongada
Tapentadol;100 mg;Comprimido revestido por película
Tapentadol;150 mg;Comprimido de libertação prolongada
Tapentadol;20 mg/ml;Solução oral
Tapentadol;200 mg;Comprimido de libertação prolongada
Tapentadol;25 mg;Comprimido de libertação prolongada
Tapentadol;250 mg;Comprimido de libertação prolongada
Tapentadol;4 mg/ml;Solução oral
Tapentadol;50 mg;Comprimido de libertação prolongada
Tapentadol;50 mg;Comprimido revestido por película
Tapentadol;75 mg;Comprimido revestido por película
Tasimelteom;20 mg;Cápsula
Tasonermina;1 mg/5.3 ml;Pó e solvente para solução para perfusão
Tecnécio (99mTc) ácido oxidrónico;3 mg;Conjunto para preparações radiofarmacêuticas
Tecnécio (99mTc) ácido oxidrónico;3 mg;Pó para solução injetável
Tecnécio (99mTc) ácido pentético;25 mg;Pó para solução injetável
Tecnécio (99mTc) ácido pentético;9.10 mg;Pó para solução injetável
Tecnécio (99mTc) albumina humana;0.5 mg;Conjunto para preparações radiofarmacêuticas
Tecnécio (99mTc) albumina humana;0.5 mg;Pó para solução injetável
Tecnécio (99mTc) estanho;20.12 mg;Pó para solução injetável
Tecnécio (99mTc) estanho;4 mg + 6.8 mg;Pó para solução injetável
Tecnécio (99mTc) etilenodicísteina;2 mg;Conjunto para preparações radiofarmacêuticas
Tecnécio (99mTc) exametazima;0.5 mg;Conjunto para preparações radiofarmacêuticas
Tecnécio (99mTc) exametazima;0.5 mg;Pó para solução injetável
Tecnécio (99mTc) fitato de sódio;20 mg;Pó para solução injetável
Tecnécio (99mTc) macrosalb;2 mg;Conjunto para preparações radiofarmacêuticas
Tecnécio (99mTc) macrosalb;2 mg;Pó para solução injetável
Tecnécio (99mTc) mertiatido;0.2 mg;Conjunto para preparações radiofarmacêuticas
Tecnécio (99mTc) mertiatido;1 mg;Pó para solução injetável
Tecnécio (99mTc) pertecnetato;2 - 50 GBq;Gerador de radionuclidos
Tecnécio (99mTc) pertecnetato;2.15 - 43.00 GBq;Gerador de radionuclidos
Tecnécio (99mTc) pertecnetato;2.5 - 100 GBq;Gerador de radionuclidos
Tecnécio (99mTc) pertecnetato;8.0 - 175 GBq;Gerador de radionuclidos
Tecnécio (99mTc) sestamibi;1 mg;Conjunto para preparações radiofarmacêuticas
Tecnécio (99mTc) succímero;1 mg;Pó para solução injetável
Tecnécio (99mTc) sulfureto de rénio;0.15 mg;Solução injetável
Tecnécio (99mTc)-hynic-tyr3-octreotido;0.016 mg;Conjunto para preparações radiofarmacêuticas
Tedizolida;200 mg;Comprimido revestido por película
Tedizolida;200 mg;Pó para concentrado para solução para perfusão
Teduglutido;1.25 mg/0.5 ml;Pó e solvente para solução injetável
Teduglutido;5 mg/0.5 ml;Pó e solvente para solução injetável
Tegafur + Gimeracilo + Oteracilo;15 mg + 4.35 mg + 11.8 mg;Cápsula
Tegafur + Gimeracilo + Oteracilo;20 mg + 5.8 mg + 15.8 mg;Cápsula
Teicoplanina;200 mg;Pó para solução injetável ou para perfusão ou para solução oral
Teicoplanina;200 mg/3 ml;Pó e solvente para solução injectável ou para perfusão ou para solução oral
Teicoplanina;200 mg/3.2 ml;Pó e solvente para solução injectável ou para perfusão ou para solução oral
Teicoplanina;200 mg/3.2 ml;Pó e solvente para solução injetável ou para perfusão
Teicoplanina;400 mg;Pó para solução injetável ou para perfusão ou para solução oral
Teicoplanina;400 mg/3 ml;Pó e solvente para solução injectável ou para perfusão ou para solução oral
Teicoplanina;400 mg/3.2 ml;Pó e solvente para solução injectável ou para perfusão ou para solução oral
Teicoplanina;400 mg/3.2 ml;Pó e solvente para solução injetável ou para perfusão
Telbivudina;20 mg/ml;Solução oral
Telbivudina;600 mg;Comprimido revestido por película
Telmisartan;20 mg;Comprimido
Telmisartan;20 mg;Comprimido revestido por película
Telmisartan;40 mg;Comprimido
Telmisartan;40 mg;Comprimido revestido por película
Telmisartan;80 mg;Comprimido
Telmisartan;80 mg;Comprimido revestido por película
Telmisartan + Hidroclorotiazida;40 mg + 12.5 mg;Comprimido
Telmisartan + Hidroclorotiazida;40 mg + 12.5 mg;Comprimido revestido por película
Telmisartan + Hidroclorotiazida;80 mg + 12.5 mg;Comprimido
Telmisartan + Hidroclorotiazida;80 mg + 12.5 mg;Comprimido revestido por película
Telmisartan + Hidroclorotiazida;80 mg + 25 mg;Comprimido
Telmisartan + Hidroclorotiazida;80 mg + 25 mg;Comprimido revestido por película
Telotristate;250 mg;Comprimido revestido por película
Temazepam;20 mg;Cápsula mole
Temoporfina;1 mg/ml;Solução injetável
Temoporfina;4 mg/ml;Solução injetável
Temozolomida;100 mg;Cápsula
Temozolomida;100 mg;Pó para solução para perfusão
Temozolomida;140 mg;Cápsula
Temozolomida;180 mg;Cápsula
Temozolomida;20 mg;Cápsula
Temozolomida;250 mg;Cápsula
Temozolomida;5 mg;Cápsula
Temsirolímus;25 mg/ml;Concentrado e solvente para solução para perfusão
Tenecteplase;10000 U.I.;Pó e solvente para solução injetável
Tenecteplase;6000 U.I.;Pó e solvente para solução injetável
Tenecteplase;8000 U.I.;Pó e solvente para solução injetável
Tenofovir;123 mg;Comprimido revestido por película
Tenofovir;163 mg;Comprimido revestido por película
Tenofovir;204 mg;Comprimido revestido por película
Tenofovir;245 mg;Comprimido revestido por película
Tenofovir;33 mg/g;Granulado
Tenofovir alafenamida;25 mg;Comprimido revestido por película
Tenoxicam;20 mg;Cápsula
Tenoxicam;20 mg;Comprimido revestido por película
Tenoxicam;20 mg/2 ml;Pó e solvente para solução injetável
Teofilina;400 mg;Comprimido de libertação prolongada
Terazosina;(1 mg) + (2 mg);Comprimido
Terazosina;5 mg;Comprimido
Terbinafina;10 mg/g;Creme
Terbinafina;10 mg/g;Solução cutânea
Terbinafina;10 mg/g;Solução para pulverização cutânea
Terbinafina;125 mg;Comprimido
Terbinafina;250 mg;Comprimido
Terbutalina;500 µg/dose;Pó para inalação
Teriflunomida;14 mg;Comprimido revestido por película
Teriparatida;0.25 mg/ml;Solução injetável
Teriparatida;0.25 mg/ml;Solução injetável em caneta pré-cheia
Terlipressina;0.1 mg/ml;Solução injetável
Terlipressina;1 mg/5 ml;Pó e solvente para solução injetável
Terlipressina;1 mg/5 ml;Solução injetável
Tertatolol;5 mg;Comprimido revestido por película
Testosterona;1000 mg/4 ml;Solução injetável
Testosterona;20 mg/g;Gel
Testosterona;25 mg/2.5 g;Gel
Testosterona;250 mg/1 ml;Solução injetável
Testosterona;50 mg/5 g;Gel
Tetrabenazina;25 mg;Comprimido
Tetracaína;7.5 mg/g;Gel
Tetracaína + Cloro-hexidina;0.2 mg + 3 mg;Pastilha
Tetraclorodecaóxido;0.01037 mg/ml;Solução cutânea
Tetracosactido;1 mg/ml;Suspensão injetável
Tetradecilsulfato de sódio;0.20%;Solução injetável
Tetradecilsulfato de sódio;0.50%;Solução injetável
Tetradecilsulfato de sódio;1%;Solução injetável
Tetradecilsulfato de sódio;3%;Solução injetável
Tetrizolina;0.5 mg/ml;"Colírio; solução"
Tetrofosmina;0.23 mg;Conjunto para preparações radiofarmacêuticas
Tezacaftor + Ivacaftor;100 mg + 150 mg;Comprimido revestido por película
Tezacaftor + Ivacaftor;50 mg + 75 mg;Comprimido revestido por película
Tiagabina;10 mg;Comprimido revestido por película
Tiagabina;15 mg;Comprimido revestido por película
Tiagabina;5 mg;Comprimido revestido por película
Tiamazol;5 mg;Comprimido
Tiamina;100 mg;Comprimido
Tiamina;100 mg/1 ml;Solução injetável
Tiamina;100 mg/2 ml;Solução injetável
Tianeptina;12.5 mg;Comprimido revestido
Tianeptina;12.5 mg;Comprimido revestido por película
Tiaprida;100 mg;Comprimido
Tiaprida;100 mg/2 ml;Solução injetável
Tibolona;2.5 mg;Comprimido
Ticagrelor;60 mg;Comprimido revestido por película
Ticagrelor;90 mg;Comprimido orodispersível
Ticagrelor;90 mg;Comprimido revestido por película
Ticlopidina;250 mg;Comprimido revestido
Ticlopidina;250 mg;Comprimido revestido por película
Tigeciclina;50 mg;Pó para solução para perfusão
Tilactase;4000 U ONPG;Cápsula
Tildracizumab;100 mg/1 ml;Solução injetável em seringa pré-cheia
Tilmanocept;50 µg;Conjunto para preparações radiofarmacêuticas
Timolol;0.4 mg/0.4 g;Gel oftálmico
Timolol;2.5 mg/ml;"Colírio; solução"
Timolol;5 mg/ml;"Colírio; solução"
Timolol + Dorzolamida;1 mg/0.2 ml + 4 mg/0.2 ml;"Colírio; solução em recipiente unidose"
Timolol + Dorzolamida;1.5 mg/0.3 ml + 6 mg/0.3 ml;"Colírio; solução em recipiente unidose"
Timolol + Dorzolamida;5 mg/ml + 20 mg/ml;"Colírio; solução"
Timolol + Travoprost;5 mg/ml + 0.04 mg/ml;"Colírio; solução"
Tinzaparina sódica;10000 U.I. Anti-Xa/0.5 ml;Solução injetável
Tinzaparina sódica;12000 U.I. Anti-Xa/0.6 ml;Solução injetável
Tinzaparina sódica;14000 U.I. Anti-Xa/0.7 ml;Solução injetável
Tinzaparina sódica;16000 U.I Anti-Xa/0.8 ml;Solução injetável
Tinzaparina sódica;18000 U.I. Anti-Xa/0.9 ml;Solução injetável
Tinzaparina sódica;2500 U.I. Anti-Xa/0.25 ml;Solução injetável
Tinzaparina sódica;3500 U.I. Anti-Xa/0.35 ml;Solução injetável
Tinzaparina sódica;4500 U.I. Anti-Xa/0.45 ml;Solução injetável
Tinzaparina sódica;8000 U.I. Anti-Xa/0.4 ml;Solução injetável
Tiocolquicosido;4 mg;Cápsula
Tiocolquicosido;4 mg;Comprimido
Tiocolquicosido;4 mg/2 ml;Solução injetável
Tiocolquicosido;8 mg;Cápsula
Tiocolquicosido;8 mg;Comprimido orodispersível
Tioconazol;10 mg/g;Creme
Tioconazol;280 mg/ml;Solução cutânea
Tiopental sódico;1000 mg;Pó para solução injetável
Tiopental sódico;500 mg;Pó para solução injetável
Tiotepa;100 mg;Pó para concentrado para solução para perfusão
Tiotepa;15 mg;Pó para concentrado para solução para perfusão
Tipranavir;100 mg/ml;Solução oral
Tipranavir;250 mg;Cápsula mole
Tirofibano;0.05 mg/ml;Solução para perfusão
Tirofibano;0.25 mg/ml;Concentrado para solução para perfusão
Tiropramida;200 mg;Cápsula de libertação prolongada
Tirotricina;1 mg;Pastilha
Tirotricina + Benzocaína;1.05 mg + 2.5 mg;Pastilha
Tirotricina + Cloreto de cetilpiridínio + Oxibuprocaína;4 mg + 1 mg + 0.2 mg;Pastilha
Tirotropina;0.9 mg;Pó para solução injetável
Tisagenlecleucel;1.2 x10e6 - 6 x10e8 células;Dispersão para perfusão
Tivozanib;1340 µg;Cápsula
Tivozanib;890 µg;Cápsula
Tizanidina;2 mg;Comprimido
Tizanidina;6 mg;Cápsula de libertação modificada
Tobramicina;0.75 mg/0.25 ml;"Colírio; solução em recipiente unidose"
Tobramicina;100 mg/2 ml;Solução injetável
Tobramicina;150 mg/3 ml;Solução injetável
Tobramicina;170 mg/1.7 ml;Solução para inalação por nebulização
Tobramicina;28 mg;"Pó para inalação; cápsula"
Tobramicina;3 mg/g;Pomada oftálmica
Tobramicina;3 mg/ml;"Colírio; solução"
Tobramicina;300 mg/4 ml;Solução para inalação por nebulização
Tobramicina;300 mg/5 ml;Solução para inalação por nebulização
Tobramicina;50 mg/2 ml;Solução injetável
Tocilizumab;162 mg/0.9 ml;Solução injetável em caneta pré-cheia
Tocilizumab;162 mg/0.9 ml;Solução injetável em seringa pré-cheia
Tocilizumab;20 mg/ml;Concentrado para solução para perfusão
Tocofersolano;50 mg/ml;Solução oral
Tofacitinib;10 mg;Comprimido revestido por película
Tofacitinib;11 mg;Comprimido de libertação prolongada
Tofacitinib;5 mg;Comprimido revestido por película
Tolcapona;100 mg;Comprimido revestido
Tolcapona;200 mg;Comprimido revestido
Tolvaptano;(15 mg) + (45 mg);Comprimido
